(house, casa)
(dog, perro)
(homework, tarea)
(woman, mujer)
(town, pueblo)
(yes, sí)
(cat, gato)
(book, libro)
(car, carro)
(water, agua)
(food, comida)
(man, hombre)
(child, niño)
(school, escuela)
(teacher, maestro)
(friend, amigo)
(family, familia)
(love, amor)
(work, trabajo)
(day, día)
(night, noche)
(sun, sol)
(moon, luna)
(tree, árbol)
(door, puerta)
(table, mesa)
(chair, silla)
(street, calle)
(city, ciudad)
(country, país)
(flower, flor)
(bird, pájaro)
(fish, pez)
(money, dinero)
(time, tiempo)
(hand, mano)
(eye, ojo)
(heart, corazón)
(road, camino)
(sky, cielo)
(rain, lluvia)
(wind, viento)
(fire, fuego)
(earth, tierra)
(stone, piedra)
(river, río)
(mother, madre)
(father, padre)
(brother, hermano)
(sister, hermana)
